hg:id,hg:PitType,Oude Naam,Tegenwoordige Naam,Plaats,Start date,End date,hg:sameAs NWB,hg:partOf NWB,hg:sameAs Inner,geometry,Source 
1,hg:Street,Ajaxlaan,Nachtegaallaan,Leiden,01-01-1900,31-12-1900,nationaal-wegenbestand/184330052,,,,
2,hg:Street,Ajaxlaaantje,Nachtegaallaan,Leiden,1-1-00,31-12-00,nationaal-wegenbestand/184330053,,,,
3,hg:Street,Bijleveltshof,Kort Galgewater tussen 16 en 17.,Leiden,01-01-1901,31-12-1901,,nationaal-wegenbestand/186328051,,"{""type"":""LineString"",""coordinates"":[[4.48290467262268,52.16136939475442],[4.48292076587677,52.161655688803485],[4.482738375663757,52.16167214242848]]}",
4,hg:Street,Bijleveltshofje,Kort Galgewater tussen 16 en 17.,Leiden,1-1-00,31-12-00,,,3,,
5,hg:Street,Coman Claessteeg,Vroeger steegje van Oude Vest naar Caeciliastraat tussen vroegere Bastiaan de Royen- en Stommesteeg.,Leiden,01-01-1902,31-12-1902,,,,"{""type"":""LineString"",""coordinates"":[[4.488832354545593,52.16243558393989],[4.488848447799683,52.162320410412796],[4.488767981529236,52.16230066634964],[4.488794803619385,52.16188603900015]]}",
6,hg:Street,Coman Claessteegjes,Vroeger steegje van Oude Vest naar Caeciliastraat tussen vroegere Bastiaan de Royen- en Stommesteeg.,Leiden,1-1-00,31-12-00,,,5,,
7,hg:Street,,,,,,,,,,
8,hg:Street,,,,,,,,,,
9,hg:Street,,,,,,,,,,
10,hg:Street,,,,,,,,,,
11,hg:Street,,,,,,,,,,
12,hg:Street,,,,,,,,,,
13,hg:Street,,,,,,,,,,
14,hg:Street,,,,,,,,,,
15,hg:Street,,,,,,,,,,
16,hg:Street
17,hg:Street
18,hg:Street
19,hg:Street
20,hg:Street
21,hg:Street
22,hg:Street
23,hg:Street
24,hg:Street
25,hg:Street
26,hg:Street
27,hg:Street
28,hg:Street
29,hg:Street
30,hg:Street
31,hg:Street
32,hg:Street
33,hg:Street
34,hg:Street
35,hg:Street
36,hg:Street
37,hg:Street
38,hg:Street
39,hg:Street
40,hg:Street
41,hg:Street
42,hg:Street
43,hg:Street
44,hg:Street
45,hg:Street
46,hg:Street
47,hg:Street
48,hg:Street
49,hg:Street
50,hg:Street
51,hg:Street
52,hg:Street
53,hg:Street
54,hg:Street
55,hg:Street
56,hg:Street
57,hg:Street
58,hg:Street
59,hg:Street
60,hg:Street
61,hg:Street
62,hg:Street
63,hg:Street
64,hg:Street
65,hg:Street
66,hg:Street
67,hg:Street
68,hg:Street
69,hg:Street
70,hg:Street
71,hg:Street
72,hg:Street
73,hg:Street
74,hg:Street
75,hg:Street
76,hg:Street
77,hg:Street
78,hg:Street
79,hg:Street
80,hg:Street
81,hg:Street
82,hg:Street
83,hg:Street
84,hg:Street
85,hg:Street
86,hg:Street
87,hg:Street
88,hg:Street
89,hg:Street
90,hg:Street
91,hg:Street
92,hg:Area
93,hg:Street
94,hg:Street
95,hg:Street
96,hg:Street
97,hg:Street
98,hg:Street
99,hg:Street
100,hg:Street
101,hg:Street
102,hg:Street
103,hg:Street
104,hg:Street
105,hg:Street
106,hg:Street
107,hg:Street
108,hg:Street
109,hg:Street
110,hg:Street
111,hg:Street
112,hg:Street
113,hg:Street
114,hg:Street
115,hg:Street
116,hg:Street
117,hg:Street
118,hg:Street
119,hg:Street
120,hg:Street
